ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",URL,_was_shipping_method,_was_shipping_method_conditions,_priority,_dp_original,slide_template,_vc_post_settings,category_sticky_post,sbg_selected_sidebar,sbg_selected_sidebar_replacement,_um_custom_access_settings,_um_accessible,_um_access_redirect2,_um_access_roles,_um_access_redirect,yst_prominent_words_version,Status,Author,Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
18519,"zone3 (Ижевск)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-izhevsk/,,,,,,,"a:6:{s:14:""shipping_title"";s:43:""Удмуртская Респ, Россия"";s:13:""shipping_cost"";s:3:""700"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:32:""RU_Удмуртская Респ"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:12:""Ижевск"";}}}",1,3067,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-izhevsk,,,0,0,0,open,open,2016-03-18
18520,"zone3 (Удмуртская Респ, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-udmurtskaya-resp-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:43:""Удмуртская Респ, Россия"";s:13:""shipping_cost"";s:4:""1050"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:32:""RU_Удмуртская Респ"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:12:""Ижевск"";}}}",1,3068,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-udmurtskaya-resp-rossiya,,,0,0,0,open,open,2016-03-18
18521,"zone4 (Новороссийск)",,,2016-03-18,was,https://euroroaming.ru/was/zone4-novorossijsk/,,,,,,,"a:6:{s:14:""shipping_title"";s:49:""Краснодарский край, Россия"";s:13:""shipping_cost"";s:3:""750"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:38:""RU_Краснодарский край"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:24:""Новороссийск"";}}}",1,3090,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone4-novorossijsk,,,0,0,0,open,open,2016-03-18
18522,"zone3 (Йошкар-Ола)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-joshkar-ola/,,,,,,,"a:6:{s:14:""shipping_title"";s:38:""Респ Марий Эл, Россия"";s:13:""shipping_cost"";s:3:""700"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:27:""RU_Респ Марий Эл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:19:""Йошкар-Ола"";}}}",1,3092,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-joshkar-ola,,,0,0,0,open,open,2016-03-18
18523,"zone3 (Респ Марий Эл, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-resp-marij-el-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:38:""Респ Марий Эл, Россия"";s:13:""shipping_cost"";s:4:""1050"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:27:""RU_Респ Марий Эл"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:19:""Йошкар-Ола"";}}}",1,3093,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-resp-marij-el-rossiya,,,0,0,0,open,open,2016-03-18
18524,"zone3 (Казань)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-kazan/,,,,,,,"a:6:{s:14:""shipping_title"";s:41:""Респ Татарстан, Россия"";s:13:""shipping_cost"";s:3:""700"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:30:""RU_Респ Татарстан"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:12:""Казань"";}}}",1,3096,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-kazan,,,0,0,0,open,open,2016-03-18
18525,"zone3 (Респ Татарстан, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-resp-tatarstan-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:41:""Респ Татарстан, Россия"";s:13:""shipping_cost"";s:4:""1050"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:30:""RU_Респ Татарстан"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:12:""Казань"";}}}",1,3097,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-resp-tatarstan-rossiya,,,0,0,0,open,open,2016-03-18
18526,"zone3 (Киров)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-kirov/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Кировская обл, Россия"";s:13:""shipping_cost"";s:3:""700"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Кировская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:10:""Киров"";}}}",1,3098,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-kirov,,,0,0,0,open,open,2016-03-18
18527,"zone3 (Кировская обл, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-kirovskaya-obl-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Кировская обл, Россия"";s:13:""shipping_cost"";s:4:""1050"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Кировская обл"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:10:""Киров"";}}}",1,3099,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-kirovskaya-obl-rossiya,,,0,0,0,open,open,2016-03-18
18528,"zone4 (Пермь)",,,2016-03-18,was,https://euroroaming.ru/was/zone4-perm/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Пермский край, Россия"";s:13:""shipping_cost"";s:3:""750"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Пермский край"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:10:""Пермь"";}}}",1,3094,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone4-perm,,,0,0,0,open,open,2016-03-18
18529,"zone4 (Пермский край)",,,2016-03-18,was,https://euroroaming.ru/was/zone4-permskij-kraj/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Пермский край, Россия"";s:13:""shipping_cost"";s:4:""1125"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Пермский край"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:10:""Пермь"";}}}",1,3095,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone4-permskij-kraj,,,0,0,0,open,open,2016-03-18
18530,"zone3 (Краснодар)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-krasnodar/,,,,,,,"a:6:{s:14:""shipping_title"";s:49:""Краснодарский край, Россия"";s:13:""shipping_cost"";s:3:""700"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:38:""RU_Краснодарский край"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:18:""Краснодар"";}}}",1,3100,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-krasnodar,,,0,0,0,open,open,2016-03-18
18531,"zone3 (Краснодарский край, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-krasnodarskij-kraj-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:49:""Краснодарский край, Россия"";s:13:""shipping_cost"";s:4:""1050"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:3:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:38:""RU_Краснодарский край"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:18:""Краснодар"";}}i:2;a:3:{i:887558060;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1119159408;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:38:""RU_Краснодарский край"";}i:2016392228;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:24:""Новороссийск"";}}i:3;a:3:{i:2098257350;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1663360374;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:38:""RU_Краснодарский край"";}i:1886980485;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:8:""Сочи"";}}}",1,3101,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-krasnodarskij-kraj-rossiya,,,0,0,0,open,open,2016-03-18
18532,"zone3 (Петрозаводск)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-petrozavodsk/,,,,,,,"a:6:{s:14:""shipping_title"";s:37:""Респ Карелия, Россия"";s:13:""shipping_cost"";s:3:""700"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:26:""RU_Респ Карелия"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:24:""Петрозаводск"";}}}",1,3104,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-petrozavodsk,,,0,0,0,open,open,2016-03-18
18533,"zone3 (Респ Карелия, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-resp-kareliya-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:37:""Респ Карелия, Россия"";s:13:""shipping_cost"";s:4:""1050"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:26:""RU_Респ Карелия"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:24:""Петрозаводск"";}}}",1,3105,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-resp-kareliya-rossiya,,,0,0,0,open,open,2016-03-18
18534,"zone3 (Псков)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-pskov/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Псковская обл, Россия"";s:13:""shipping_cost"";s:3:""700"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Псковская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:10:""Псков"";}}}",1,3106,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-pskov,,,0,0,0,open,open,2016-03-18
18535,"zone3 (Псковская обл, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-pskovskaya-obl-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Псковская обл, Россия"";s:13:""shipping_cost"";s:4:""1050"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Псковская обл"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:10:""Псков"";}}}",1,3107,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-pskovskaya-obl-rossiya,,,0,0,0,open,open,2016-03-18
18536,"zone3 (Ростов-на-Дону)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-rostov-na-donu/,,,,,,,"a:6:{s:14:""shipping_title"";s:41:""Ростовская обл, Россия"";s:13:""shipping_cost"";s:3:""700"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:30:""RU_Ростовская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:26:""Ростов-на-Дону"";}}}",1,3108,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-rostov-na-donu,,,0,0,0,open,open,2016-03-18
18537,"zone3 (Ростовская обл, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-rostovskaya-obl-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:41:""Ростовская обл, Россия"";s:13:""shipping_cost"";s:4:""1050"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:30:""RU_Ростовская обл"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:26:""Ростов-на-Дону"";}}}",1,3109,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-rostovskaya-obl-rossiya,,,0,0,0,open,open,2016-03-18
18538,"zone3 (Самара)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-samara/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Самарская обл, Россия"";s:13:""shipping_cost"";s:3:""700"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Самарская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:12:""Самара"";}}}",1,3110,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-samara,,,0,0,0,open,open,2016-03-18
18539,"zone3 (Самарская обл, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-samarskaya-obl-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Самарская обл, Россия"";s:13:""shipping_cost"";s:4:""1050"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Самарская обл"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:12:""Самара"";}}}",1,3111,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-samarskaya-obl-rossiya,,,0,0,0,open,open,2016-03-18
18540,"zone3 (Саранск)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-saransk/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Респ Мордовия, Россия"";s:13:""shipping_cost"";s:3:""700"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Респ Мордовия"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:14:""Саранск"";}}}",1,3112,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-saransk,,,0,0,0,open,open,2016-03-18
18541,"zone3 (Респ Мордовия, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-resp-mordoviya-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Респ Мордовия, Россия"";s:13:""shipping_cost"";s:4:""1050"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Респ Мордовия"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:14:""Саранск"";}}}",1,3113,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-resp-mordoviya-rossiya,,,0,0,0,open,open,2016-03-18
18542,"zone3 (Саратов)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-saratov/,,,,,,,"a:6:{s:14:""shipping_title"";s:43:""Саратовская обл, Россия"";s:13:""shipping_cost"";s:3:""700"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:32:""RU_Саратовская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:14:""Саратов"";}}}",1,3114,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-saratov,,,0,0,0,open,open,2016-03-18
18543,"zone3 (Саратовская обл, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone3-saratovskaya-obl-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:43:""Саратовская обл, Россия"";s:13:""shipping_cost"";s:4:""1050"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:32:""RU_Саратовская обл"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:14:""Саратов"";}}}",1,3115,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone3-saratovskaya-obl-rossiya,,,0,0,0,open,open,2016-03-18
18544,"zone4 (Симферополь)",,,2016-03-18,was,https://euroroaming.ru/was/zone4-simferopol/,,,,,,,"a:6:{s:14:""shipping_title"";s:43:""Республика Крым, Россия"";s:13:""shipping_cost"";s:3:""750"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:20:""RU_Респ Крым"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:22:""Симферополь"";}}}",1,3102,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone4-simferopol,,,0,0,0,open,open,2016-03-18
